Country Name, Country Code, Continent, Population 2017
"Congo, Rep.",COG,Africa,5260750
Costa Rica,CRI,North America,4905769
Ireland,IRL,Europe,4813608
New Zealand,NZL,Oceania,4793900
Liberia,LBR,Africa,4731906
West Bank and Gaza,PSE,Asia,4684777
Central African Republic,CAF,Africa,4659080
Oman,OMN,Asia,4636262
Mauritania,MRT,Africa,4420184
Kuwait,KWT,Asia,4136528
Croatia,HRV,Europe,4125700
Panama,PAN,North America,4098587
Georgia,GEO,Asia,3717100
Moldova,MDA,Europe,3549750
Bosnia and Herzegovina,BIH,Europe,3507017
Uruguay,URY,South America,3456750
Puerto Rico,PRI,North America,3337177
Mongolia,MNG,Asia,3075647
Armenia,ARM,Asia,2930450
Jamaica,JAM,North America,2890299
Albania,ALB,Europe,2873457
Lithuania,LTU,Europe,2827721
Qatar,QAT,Asia,2639211
Namibia,NAM,Africa,2533794
Botswana,BWA,Africa,2291661
Lesotho,LSO,Africa,2233339
"Gambia, The",GMB,Africa,2100568
"Macedonia, FYR",MKD,Europe,2083160
Slovenia,SVN,Europe,2066748
Gabon,GAB,Africa,2025137
Latvia,LVA,Europe,1940740
Guinea-Bissau,GNB,Africa,1861283
Kosovo,XKX,Europe,1830700
Bahrain,BHR,Asia,1492584
Trinidad and Tobago,TTO,North America,1369125
Eswatini,SWZ,Africa,1367254
Estonia,EST,Europe,1315480
Timor-Leste,TLS,Asia,1296311
Equatorial Guinea,GNQ,Africa,1267689
Mauritius,MUS,Africa,1264613
Cyprus,CYP,Asia,1179551
Djibouti,DJI,Africa,956985
Fiji,FJI,Oceania,905502
Comoros,COM,Africa,813912
Bhutan,BTN,Asia,807610
Guyana,GUY,South America,777859
"Macao SAR, China",MAC,Asia,622567
Montenegro,MNE,Europe,622471
Solomon Islands,SLB,Oceania,611343
Luxembourg,LUX,Europe,599449
Suriname,SUR,South America,563402
Cabo Verde,CPV,Africa,546388
Malta,MLT,Europe,465292
Maldives,MDV,Asia,436330
Brunei Darussalam,BRN,Asia,428697
"Bahamas, The",BHS,North America,395361
Belize,BLZ,North America,374681
Iceland,ISL,Europe,341284
Barbados,BRB,North America,285719
French Polynesia,PYF,Oceania,283007
New Caledonia,NCL,Oceania,280460
Vanuatu,VUT,Oceania,276244
Sao Tome and Principe,STP,Africa,204327
Samoa,WSM,Oceania,196440
St. Lucia,LCA,North America,178844
Channel Islands,CHI,Europe,165314
Guam,GUM,Oceania,164229
Curacao,CUW,North America,161014
Kiribati,KIR,Oceania,116398
St. Vincent and the Grenadines,VCT,North America,109897
Tonga,TON,Oceania,108020
Grenada,GRD,North America,107825
Virgin Islands (U.S.),VIR,North America,107268
"Micronesia, Fed. Sts.",FSM,Oceania,105544
Aruba,ABW,North America,105264
Antigua and Barbuda,ATG,North America,102012
Seychelles,SYC,Africa,95843
Isle of Man,IMN,Europe,84287
Andorra,AND,Europe,76965
Dominica,DMA,North America,73925
Bermuda,BMU,North America,65441
Cayman Islands,CYM,North America,61559
Greenland,GRL,North America,56171
American Samoa,ASM,Oceania,55641
St. Kitts and Nevis,KNA,North America,55345
Northern Mariana Islands,MNP,Oceania,55144
Marshall Islands,MHL,Oceania,53127
Faroe Islands,FRO,Europe,49290
Sint Maarten (Dutch part),SXM,North America,41109
Monaco,MCO,Europe,38695
Liechtenstein,LIE,Europe,37922
Turks and Caicos Islands,TCA,North America,35446
Gibraltar,GIB,Europe,34571
San Marino,SMR,Europe,33400
St. Martin (French part),MAF,North America,32125
British Virgin Islands,VGB,North America,31196
Palau,PLW,Oceania,21729
Nauru,NRU,Oceania,13649
Tuvalu,TUV,Oceania,11192
Eritrea,ERI,Africa,..
